metadata_version,name,version,author,platform,upload_time
,requests,1.2.1,Kenneth Reitz,['UNKNOWN'],2013-05-20 20:11:09.817186+00:00
,requests,1.2.2,Kenneth Reitz,['UNKNOWN'],2013-05-21 21:44:44.405678+00:00
,requests,1.2.3,Kenneth Reitz,['UNKNOWN'],2013-05-25 16:48:36.421087+00:00
2.1,requests,2.28.0,Kenneth Reitz,[],2022-06-09 14:44:34.115743+00:00
2.1,requests,2.28.1,Kenneth Reitz,[],2022-06-29 15:13:40.685859+00:00
2.1,requests,2.28.0,Kenneth Reitz,[],2022-06-09 14:44:36.903113+00:00
2.1,requests,2.28.1,Kenneth Reitz,[],2022-06-29 15:13:42.715104+00:00
,requests,2.5.0,Kenneth Reitz,['UNKNOWN'],2014-12-01 23:27:51.119048+00:00
,requests,2.5.0,Kenneth Reitz,['UNKNOWN'],2014-12-01 23:27:51.119048+00:00
,requests,2.5.0,Kenneth Reitz,['UNKNOWN'],2014-12-01 23:27:58.129251+00:00
,requests,2.5.1,Kenneth Reitz,['UNKNOWN'],2014-12-23 17:55:59.876986+00:00
,requests,2.5.1,Kenneth Reitz,['UNKNOWN'],2014-12-23 17:56:08.223795+00:00
,requests,0.14.1,Kenneth Reitz,['UNKNOWN'],2012-10-01 17:30:05.176526+00:00
,requests,0.14.2,Kenneth Reitz,['UNKNOWN'],2012-10-27 15:08:51.460827+00:00
,requests,0.3.1,Kenneth Reitz,['UNKNOWN'],2011-04-01 20:55:03.064666+00:00
,requests,0.3.2,Kenneth Reitz,['UNKNOWN'],2011-04-15 23:30:50.899634+00:00
2.1,requests,2.28.2,Kenneth Reitz,[],2023-01-12 16:24:52.241259+00:00
2.1,requests,2.28.2,Kenneth Reitz,[],2023-01-12 16:24:54.687770+00:00
,requests,2.24.0,Kenneth Reitz,[],2020-06-17 16:30:08.738735+00:00
,requests,2.24.0,Kenneth Reitz,[],2020-06-17 16:30:14.123456+00:00
,requests,2.23.0,Kenneth Reitz,[],2020-06-17 16:30:11.334360+00:00
,requests,2.24.0,Kenneth Reitz,[],2020-06-17 16:30:14.123456+00:00
,requests,1.0.0,Kenneth Reitz,['UNKNOWN'],2012-12-17 15:00:05.110522+00:00
,requests,1.0.1,Kenneth Reitz,['UNKNOWN'],2012-12-17 18:53:51.251872+00:00
,requests,1.0.2,Kenneth Reitz,['UNKNOWN'],2012-12-17 19:04:31.658169+00:00
,requests,1.0.3,Kenneth Reitz,['UNKNOWN'],2012-12-18 09:51:12.406576+00:00
,requests,1.0.4,Kenneth Reitz,['UNKNOWN'],2012-12-23 07:45:10.417631+00:00
,requests,0.3.3,Kenneth Reitz,['UNKNOWN'],2011-05-12 10:03:24.258074+00:00
,requests,0.3.4,Kenneth Reitz,['UNKNOWN'],2011-05-14 20:30:44.001002+00:00
,requests,0.4.0,Kenneth Reitz,['UNKNOWN'],2011-05-15 05:58:43.415820+00:00
,requests,0.4.1,Kenneth Reitz,['UNKNOWN'],2011-05-25 18:54:05.328955+00:00
,requests,0.5.0,Kenneth Reitz,['UNKNOWN'],2011-06-22 04:44:39.288841+00:00
,requests,2.0.0,Kenneth Reitz,['UNKNOWN'],2013-09-24 18:39:33.154169+00:00
,requests,2.19.1,Kenneth Reitz,[],2018-06-14 13:40:38.236729+00:00
,requests,2.2.0,Kenneth Reitz,['UNKNOWN'],2014-01-09 19:33:37.785784+00:00
,requests,2.2.0,Kenneth Reitz,['UNKNOWN'],2014-01-09 19:33:32.362704+00:00
,requests,2.2.1,Kenneth Reitz,['UNKNOWN'],2014-01-23 18:26:15.042092+00:00
,requests,2.2.1,Kenneth Reitz,['UNKNOWN'],2014-01-23 18:26:12.018048+00:00
,requests,2.19.0,Kenneth Reitz,[],2018-06-12 14:46:17.223245+00:00
,requests,2.19.1,Kenneth Reitz,[],2018-06-14 13:40:41.014589+00:00
,requests,2.19.0,Kenneth Reitz,[],2018-06-12 14:46:15.289074+00:00
,requests,2.21.0,Kenneth Reitz,[],2018-12-10 15:40:08.741431+00:00
,requests,2.6.0,Kenneth Reitz,['UNKNOWN'],2015-03-14 16:44:37.146829+00:00
,requests,2.6.0,Kenneth Reitz,['UNKNOWN'],2015-03-14 16:44:48.433132+00:00
,requests,2.21.0,Kenneth Reitz,[],2018-12-10 15:40:11.072000+00:00
,requests,0.13.6,Kenneth Reitz,['UNKNOWN'],2012-08-06 08:46:22.516645+00:00
,requests,0.13.7,Kenneth Reitz,['UNKNOWN'],2012-08-19 00:47:48.501903+00:00
,requests,0.13.8,Kenneth Reitz,['UNKNOWN'],2012-08-20 15:24:42.439401+00:00
,requests,0.13.9,Kenneth Reitz,['UNKNOWN'],2012-08-25 15:26:50.954170+00:00
,requests,2.18.0,Kenneth Reitz,[],2017-06-14 15:44:35.080617+00:00
,requests,2.18.1,Kenneth Reitz,[],2017-06-14 17:51:25.096686+00:00
,requests,2.18.1,Kenneth Reitz,[],2017-06-14 17:51:28.960131+00:00
,requests,2.18.0,Kenneth Reitz,[],2017-06-14 15:44:37.484470+00:00
,requests,1.1.0,Kenneth Reitz,['UNKNOWN'],2013-01-10 07:13:41.901588+00:00
,requests,0.14.0,Kenneth Reitz,['UNKNOWN'],2012-09-02 08:50:39.106639+00:00
,requests,2.6.1,Kenneth Reitz,['UNKNOWN'],2015-04-23 02:27:04.893535+00:00
,requests,2.6.1,Kenneth Reitz,['UNKNOWN'],2015-04-23 02:27:12.848707+00:00
,requests,2.6.2,Kenneth Reitz,['UNKNOWN'],2015-04-23 16:30:52.318157+00:00
,requests,2.6.2,Kenneth Reitz,['UNKNOWN'],2015-04-23 16:31:01.589754+00:00
,requests,2.18.2,Kenneth Reitz,[],2017-07-25 15:23:18.103843+00:00
,requests,2.12.2,Kenneth Reitz,[],2016-11-30 12:39:34.983059+00:00
,requests,2.12.0,Kenneth Reitz,[],2016-11-15 10:32:06.217543+00:00
,requests,2.12.1,Kenneth Reitz,[],2016-11-16 10:45:37.051370+00:00
,requests,2.12.1,Kenneth Reitz,[],2016-11-16 10:45:42.744303+00:00
,requests,2.12.2,Kenneth Reitz,[],2016-11-30 12:39:31.252307+00:00
,requests,2.12.0,Kenneth Reitz,[],2016-11-15 10:32:00.148361+00:00
,requests,2.18.2,Kenneth Reitz,[],2017-07-25 15:23:15.338694+00:00
,requests,2.12.3,Kenneth Reitz,[],2016-12-01 10:49:02.775404+00:00
,requests,2.12.3,Kenneth Reitz,[],2016-12-01 10:49:08.086038+00:00
,requests,2.12.4,Kenneth Reitz,[],2016-12-14 11:39:35.297490+00:00
,requests,2.12.3,Kenneth Reitz,[],2016-12-01 10:49:02.775404+00:00
,requests,2.12.4,Kenneth Reitz,[],2016-12-14 11:39:39.385140+00:00
,requests,2.18.3,Kenneth Reitz,[],2017-08-02 13:23:35.599515+00:00
,requests,2.18.4,Kenneth Reitz,[],2017-08-15 13:23:43.489631+00:00
,requests,2.4.2,Kenneth Reitz,['UNKNOWN'],2014-10-05 17:15:53.632369+00:00
,requests,2.4.2,Kenneth Reitz,['UNKNOWN'],2014-10-05 17:15:45.276538+00:00
,requests,2.4.3,Kenneth Reitz,['UNKNOWN'],2014-10-06 09:44:49.312197+00:00
,requests,2.4.3,Kenneth Reitz,['UNKNOWN'],2014-10-06 09:44:44.221787+00:00
,requests,2.18.3,Kenneth Reitz,[],2017-08-02 13:23:35.599515+00:00
,requests,2.18.4,Kenneth Reitz,[],2017-08-15 13:23:46.348325+00:00
,requests,0.2.0,Kenneth Reitz,['UNKNOWN'],2011-02-14 08:49:42.641660+00:00
,requests,0.2.1,Kenneth Reitz,['UNKNOWN'],2011-02-14 16:38:12.392550+00:00
,requests,0.2.2,Kenneth Reitz,['UNKNOWN'],2011-02-14 18:58:40.410171+00:00
,requests,0.2.3,Kenneth Reitz,['UNKNOWN'],2011-02-15 15:47:29.058010+00:00
,requests,0.2.4,Kenneth Reitz,['UNKNOWN'],2011-02-19 07:03:14.518479+00:00
,requests,0.3.0,Kenneth Reitz,['UNKNOWN'],2011-02-25 14:58:38.361577+00:00
,requests,0.3.0,Kenneth Reitz,['UNKNOWN'],2011-02-25 14:58:38.361577+00:00
,requests,0.3.0,Kenneth Reitz,['UNKNOWN'],2011-02-25 14:58:38.361577+00:00
,requests,2.18.3,Kenneth Reitz,[],2017-08-02 13:23:31.998938+00:00
,requests,2.0.0,Kenneth Reitz,['UNKNOWN'],2013-11-15 19:09:51.527323+00:00
,requests,2.0.1,Kenneth Reitz,['UNKNOWN'],2013-11-15 19:12:20.555241+00:00
,requests,0.12.0,Kenneth Reitz,['UNKNOWN'],2012-05-03 01:18:47.376345+00:00
,requests,0.12.1,Kenneth Reitz,['UNKNOWN'],2012-05-08 07:21:59.920122+00:00
,requests,0.13.0,Kenneth Reitz,['UNKNOWN'],2012-05-30 02:54:18.564587+00:00
,requests,2.7.0,Kenneth Reitz,['UNKNOWN'],2015-05-03 15:01:28.821871+00:00
,requests,2.7.0,Kenneth Reitz,['UNKNOWN'],2015-05-03 15:01:21.105760+00:00
,requests,2.20.0,Kenneth Reitz,[],2018-10-18 15:46:10.776819+00:00
,requests,2.5.2,Kenneth Reitz,['UNKNOWN'],2015-02-23 22:37:39.435391+00:00
,requests,2.5.2,Kenneth Reitz,['UNKNOWN'],2015-02-23 22:37:46.983551+00:00
,requests,2.5.3,Kenneth Reitz,['UNKNOWN'],2015-02-24 16:33:49.703522+00:00
,requests,2.5.3,Kenneth Reitz,['UNKNOWN'],2015-02-24 16:33:58.415782+00:00
,requests,2.1.0,Kenneth Reitz,['UNKNOWN'],2013-12-05 22:51:41.312732+00:00
,requests,2.1.0,Kenneth Reitz,['UNKNOWN'],2013-12-05 22:51:38.634004+00:00
,requests,0.6.0,Kenneth Reitz,['UNKNOWN'],2011-08-17 10:33:05.720565+00:00
,requests,0.6.1,Kenneth Reitz,['UNKNOWN'],2011-08-21 00:25:37.203918+00:00
,requests,1.2.0,Kenneth Reitz,['UNKNOWN'],2013-03-31 05:28:47.574555+00:00
,requests,0.11.2,Kenneth Reitz,['UNKNOWN'],2012-04-23 04:29:36.868120+00:00
,requests,2.22.0,Kenneth Reitz,[],2019-05-16 14:37:14.357166+00:00
,requests,0.6.2,Kenneth Reitz,['UNKNOWN'],2011-10-09 13:12:45.395766+00:00
