manager,package_name,snyk_link,security_score,affected_version,install_type,cve,cwe,fix_method,overview,update_date,package_type,ref_links,Attack Vector (AV),Attack Complexity (AC),Attack Requirements (AT),Privileges Required (PR),User Interaction (UI),Confidentiality (VC),Integrity (VI),Availability (VA),Confidentiality (SC),Integrity (SI),Availability (SA)
npm,@avaldigitallabs/adl-pfm-lib-web-components,https://security.snyk.io/vuln/SNYK-JS-AVALDIGITALLABSADLPFMLIBWEBCOMPONENTS-7654178,9.3,*,npm,CVE NOT AVAILABLE,CWE-506,Avoid using all malicious instances of the @avaldigitallabs/adl-pfm-lib-web-components package.,"@avaldigitallabs/adl-pfm-lib-web-components is a malicious package. This package contains malicious code, and its content was removed from the official package manager. While this package might be attempting to impersonate a valid organization, there is no connection between that organization and this package authorship.",INTRODUCED: 9 AUG 2024,MALICIOUS,NPM Security Placeholder: https://npmjs.com/package/@avaldigitallabs/adl-pfm-lib-web-components,Network,Low,None,None,None,High,High,High,None,None,None
npm,@adidas-data-mesh/consumer-journey,https://security.snyk.io/vuln/SNYK-JS-ADIDASDATAMESHCONSUMERJOURNEY-7654177,9.3,*,npm,CVE NOT AVAILABLE,CWE-506,Avoid using all malicious instances of the @adidas-data-mesh/consumer-journey package.,"@adidas-data-mesh/consumer-journey is a malicious package. This package contains malicious code, and its content was removed from the official package manager. While this package might be attempting to impersonate a valid organization, there is no connection between that organization and this package authorship.",INTRODUCED: 9 AUG 2024,MALICIOUS,NPM Security Placeholder: https://npmjs.com/package/@adidas-data-mesh/consumer-journey,Network,Low,None,None,None,High,High,High,None,None,None
npm,@adidas-data-mesh/common,https://security.snyk.io/vuln/SNYK-JS-ADIDASDATAMESHCOMMON-7654176,9.3,*,npm,CVE NOT AVAILABLE,CWE-506,Avoid using all malicious instances of the @adidas-data-mesh/common package.,"@adidas-data-mesh/common is a malicious package. This package contains malicious code, and its content was removed from the official package manager. While this package might be attempting to impersonate a valid organization, there is no connection between that organization and this package authorship.",INTRODUCED: 9 AUG 2024,MALICIOUS,NPM Security Placeholder: https://npmjs.com/package/@adidas-data-mesh/common,Network,Low,None,None,None,High,High,High,None,None,None
npm,module-utils,https://security.snyk.io/vuln/SNYK-JS-MODULEUTILS-7650138,9.3,*,npm,CVE NOT AVAILABLE,CWE-506,Avoid using all malicious instances of the module-utils package.,"module-utils is a malicious package. This package contains malicious code, and its content was removed from the official package manager. While this package might be attempting to impersonate a valid organization, there is no connection between that organization and this package authorship.",INTRODUCED: 8 AUG 2024,MALICIOUS,NPM Security Placeholder: https://npmjs.com/package/module-utils,Network,Low,None,None,None,Low,Low,Low,None,None,None
npm,uitk-react-date-selector,https://security.snyk.io/vuln/SNYK-JS-UITKREACTDATESELECTOR-7650137,9.3,*,npm,CVE NOT AVAILABLE,CWE-506,Avoid using all malicious instances of the uitk-react-date-selector package.,"uitk-react-date-selector is a malicious package. This package contains malicious code, and its content was removed from the official package manager. While this package might be attempting to impersonate a valid organization, there is no connection between that organization and this package authorship.",INTRODUCED: 8 AUG 2024,MALICIOUS,NPM Security Placeholder: https://npmjs.com/package/uitk-react-date-selector,Network,Low,None,None,None,Low,Low,Low,None,None,None
npm,mma-mfe,https://security.snyk.io/vuln/SNYK-JS-MMAMFE-7650136,9.3,*,npm,CVE NOT AVAILABLE,CWE-506,Avoid using all malicious instances of the mma-mfe package.,"mma-mfe is a malicious package. This package contains malicious code, and its content was removed from the official package manager. While this package might be attempting to impersonate a valid organization, there is no connection between that organization and this package authorship.",INTRODUCED: 8 AUG 2024,MALICIOUS,GitHub Advisory: https://github.com/advisories/GHSA-66vm-vhp5-gjcj; NPM Security Placeholder: https://npmjs.com/package/mma-mfe,Network,Low,None,None,None,Low,Low,Low,None,None,None
npm,uitk-react-experimental-button-tabs,https://security.snyk.io/vuln/SNYK-JS-UITKREACTEXPERIMENTALBUTTONTABS-7650135,9.3,*,npm,CVE NOT AVAILABLE,CWE-506,Avoid using all malicious instances of the uitk-react-experimental-button-tabs package.,"uitk-react-experimental-button-tabs is a malicious package. This package contains malicious code, and its content was removed from the official package manager. While this package might be attempting to impersonate a valid organization, there is no connection between that organization and this package authorship.",INTRODUCED: 8 AUG 2024,MALICIOUS,NPM Security Placeholder: https://npmjs.com/package/uitk-react-experimental-button-tabs,Network,Low,None,None,None,Low,Low,Low,None,None,None
npm,click-action-framework,https://security.snyk.io/vuln/SNYK-JS-CLICKACTIONFRAMEWORK-7650134,9.3,*,npm,CVE NOT AVAILABLE,CWE-506,Avoid using all malicious instances of the click-action-framework package.,"click-action-framework is a malicious package. This package contains malicious code, and its content was removed from the official package manager. While this package might be attempting to impersonate a valid organization, there is no connection between that organization and this package authorship.",INTRODUCED: 8 AUG 2024,MALICIOUS,NPM Security Placeholder: https://npmjs.com/package/click-action-framework,Network,Low,None,None,None,Low,Low,Low,None,None,None
npm,syf-js-utilities,https://security.snyk.io/vuln/SNYK-JS-SYFJSUTILITIES-7650133,9.3,*,npm,CVE NOT AVAILABLE,CWE-506,Avoid using all malicious instances of the syf-js-utilities package.,"syf-js-utilities is a malicious package. This package contains malicious code, and its content was removed from the official package manager. While this package might be attempting to impersonate a valid organization, there is no connection between that organization and this package authorship.",INTRODUCED: 8 AUG 2024,MALICIOUS,NPM Security Placeholder: https://npmjs.com/package/syf-js-utilities,Network,Low,None,None,None,Low,Low,Low,None,None,None
npm,iva-react-web-ui,https://security.snyk.io/vuln/SNYK-JS-IVAREACTWEBUI-7650132,9.3,*,npm,CVE NOT AVAILABLE,CWE-506,Avoid using all malicious instances of the iva-react-web-ui package.,"iva-react-web-ui is a malicious package. This package contains malicious code, and its content was removed from the official package manager. While this package might be attempting to impersonate a valid organization, there is no connection between that organization and this package authorship.",INTRODUCED: 8 AUG 2024,MALICIOUS,NPM Security Placeholder: https://npmjs.com/package/iva-react-web-ui,Network,Low,None,None,None,Low,Low,Low,None,None,None
